Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
722,Iowa State University,2.01,PhD,Phoenix,F,0.0,1,N/A,4,Research Assistant,06/00,02/02,Research Assistant,03/02,12/02,Senior SWE,02/03,09/04,7.95
723,Arizona State University,2.61,PhD,San Antonio,F,N/A,0,1,3,Research Assistant,06/08,07/09,N/A,N/A,N/A,N/A,N/A,N/A,5.25
724,University of Oregon,2.71,Masters,New York City,N/A,N/A,1,0,0,ML Engineer,05/00,12/01,Lawyer,02/02,10/02,Senior Data Scientist,11/02,01/04,3.03
725,University of Cincinnati,2.53,Masters,Dallas,F,1.0,1,1,1,Senior SWE,01/03,02/04,ML Engineer,02/04,04/06,Lawyer,04/06,07/07,8.87
726,University of Hawaii at Manoa,2.26,Bachelors,Dallas,M,N/A,0,1,3,Senior SWE,11/00,06/01,ML Engineer,08/01,09/03,Senior Data Scientist,12/03,05/05,6.52
727,Pennsylvania State University,2.37,PhD,San Jose,N/A,0.0,1,0,4,Teaching Assistant,06/04,09/06,Lawyer,10/06,02/08,Lawyer,04/08,01/11,7.08
728,Cornell University,2.89,PhD,San Antonio,N/A,N/A,1,0,0,Senior SWE,01/03,06/03,Junior SWE,06/03,05/05,ML Engineer,05/05,12/05,8.48
729,Massachusetts Institute of Technology (MIT),3.1,Masters,New York City,M,N/A,1,N/A,0,Research Assistant,09/04,12/05,Junior SWE,03/06,08/06,Research Assistant,09/06,06/07,6.22
730,University of Missouri,2.81,PhD,Los Angeles,M,1.0,0,0,0,Teaching Assistant,08/07,03/08,ML Engineer,05/08,12/10,Lawyer,02/11,08/13,2.17
731,University of Pittsburgh,2.05,Masters,Los Angeles,N/A,N/A,1,0,0,Senior Data Scientist,04/06,09/07,Senior SWE,10/07,12/09,Senior SWE,03/10,06/11,1.15
732,University of Tennessee Knoxville,2.7,Bachelors,Philadelphia,F,1.0,0,N/A,0,Senior Data Scientist,07/03,10/04,Senior SWE,11/04,08/07,Research Assistant,10/07,11/08,8.62
733,Florida State University,2.18,PhD,Houston,N/A,1.0,0,1,0,Teaching Assistant,05/01,11/02,Teaching Assistant,12/02,06/03,Research Assistant,09/03,08/04,9.15
734,University of Michigan,3.19,Bachelors,Philadelphia,M,N/A,1,1,2,Teaching Assistant,05/04,02/06,N/A,N/A,N/A,N/A,N/A,N/A,8.41
735,University of Utah,2.64,Masters,Los Angeles,F,0.0,0,1,4,Senior Data Scientist,04/05,01/06,ML Engineer,03/06,06/07,Research Assistant,09/07,09/09,4.05
736,University of Alabama,2.77,PhD,San Antonio,M,0.0,0,1,3,Senior Data Scientist,05/07,06/08,Junior SWE,08/08,05/09,Senior SWE,05/09,11/09,8.32
737,University of Minnesota Twin Cities,2.58,Bachelors,Houston,M,N/A,1,0,3,Lawyer,04/07,08/07,Senior SWE,10/07,01/10,Senior SWE,03/10,08/10,0.1
738,University of Chicago,2.77,PhD,Philadelphia,M,0.0,0,N/A,0,Research Assistant,01/01,05/02,Lawyer,07/02,10/03,Teaching Assistant,12/03,07/05,7.85
739,University of Notre Dame,2.16,Masters,San Jose,F,0.0,0,1,0,Senior Data Scientist,11/07,01/10,ML Engineer,04/10,12/12,Senior Data Scientist,02/13,09/13,9.71
740,Vanderbilt University,3.8,Bachelors,Houston,N/A,1.0,0,0,1,Research Assistant,08/04,06/05,Teaching Assistant,07/05,06/07,Junior SWE,08/07,09/09,2.34
741,Michigan State University,3.81,Bachelors,San Jose,N/A,1.0,0,N/A,4,ML Engineer,07/03,12/05,Lawyer,12/05,08/06,Junior Data Scientist,09/06,05/09,5.42
742,Indiana University Bloomington,3.95,PhD,Phoenix,N/A,0.0,0,1,0,Teaching Assistant,12/02,05/05,Junior Data Scientist,06/05,03/06,N/A,N/A,N/A,7.09
743,Vanderbilt University,3.14,PhD,San Jose,F,N/A,1,1,3,Junior SWE,01/08,06/08,Junior SWE,09/08,06/09,Junior Data Scientist,07/09,12/11,1.33
744,University of Connecticut,2.33,PhD,Houston,F,N/A,1,0,2,ML Engineer,09/05,05/07,Research Assistant,07/07,06/09,Lawyer,09/09,04/12,3.18
745,Brown University,2.76,Masters,New York City,F,0.0,0,1,3,Junior Data Scientist,12/01,12/02,Senior Data Scientist,01/03,03/05,Senior SWE,05/05,12/07,2.08
746,University of Cincinnati,2.27,Bachelors,New York City,N/A,0.0,1,1,2,Lawyer,11/02,04/05,Lawyer,05/05,09/05,Junior SWE,10/05,09/07,6.42
747,Texas A&M University,2.6,Masters,San Jose,F,N/A,1,0,1,Research Assistant,12/08,11/10,Teaching Assistant,12/10,07/11,Senior SWE,07/11,02/13,8.12
748,University of Massachusetts Amherst,2.98,PhD,Phoenix,N/A,N/A,1,0,2,Junior SWE,12/01,06/04,Senior SWE,07/04,05/06,Lawyer,06/06,03/08,4.7
749,University of Miami,2.12,PhD,Los Angeles,N/A,0.0,0,0,4,Junior SWE,04/03,12/03,Lawyer,02/04,09/06,Junior SWE,10/06,03/07,1.4
750,Rice University,2.86,PhD,Chicago,F,N/A,0,0,3,ML Engineer,11/04,01/07,Senior SWE,02/07,12/07,Junior SWE,01/08,02/10,6.33
751,Rice University,2.84,Masters,Houston,M,N/A,0,N/A,2,Senior Data Scientist,05/05,04/06,Junior SWE,05/06,08/07,Senior SWE,10/07,01/08,4.84
752,University of New Mexico,2.96,PhD,Philadelphia,M,0.0,0,0,3,Junior SWE,03/02,09/03,Junior Data Scientist,09/03,11/05,Junior SWE,12/05,12/07,0.72
753,University of Southern California (USC),2.15,PhD,New York City,M,1.0,0,1,4,Junior Data Scientist,03/01,11/02,Senior Data Scientist,11/02,03/05,N/A,N/A,N/A,3.75
754,Georgia Institute of Technology (Georgia Tech),2.5,Bachelors,San Diego,M,0.0,0,0,1,Junior Data Scientist,02/02,07/04,Senior SWE,08/04,01/07,Teaching Assistant,03/07,11/09,5.53
755,University of Hawaii at Manoa,2.49,Masters,Dallas,M,0.0,1,1,3,Research Assistant,10/00,05/03,Lawyer,08/03,12/05,Senior SWE,01/06,08/06,8.47
756,Michigan State University,3.25,Bachelors,Houston,N/A,1.0,1,N/A,0,Senior Data Scientist,11/07,11/09,Junior SWE,01/10,08/12,Senior SWE,10/12,10/13,5.16
757,University of Massachusetts Amherst,3.18,Bachelors,Dallas,N/A,1.0,0,N/A,0,Research Assistant,10/06,11/08,N/A,N/A,N/A,N/A,N/A,N/A,2.52
758,University of Southern California (USC),2.39,Bachelors,Dallas,M,0.0,1,0,1,Senior Data Scientist,05/02,08/02,Senior SWE,11/02,07/05,Senior Data Scientist,09/05,08/06,8.47
759,University of Michigan,2.21,PhD,Chicago,F,N/A,0,0,3,Senior Data Scientist,05/06,12/08,Junior SWE,02/09,01/10,ML Engineer,03/10,04/12,6.8
760,Georgetown University,2.6,Masters,San Diego,F,0.0,0,0,3,Teaching Assistant,03/09,11/11,Senior SWE,01/12,10/12,Senior SWE,11/12,05/13,2.51
761,University of Missouri,3.89,Masters,Houston,F,1.0,1,0,4,Junior SWE,10/09,10/11,Senior SWE,01/12,07/14,ML Engineer,10/14,04/15,4.42
762,University of Iowa,2.66,Bachelors,Houston,F,0.0,1,1,0,Senior SWE,04/04,09/05,Senior SWE,11/05,02/07,Research Assistant,04/07,12/08,2.58
763,University of Missouri,3.24,Bachelors,Houston,N/A,0.0,0,0,3,Lawyer,04/00,10/02,Senior SWE,01/03,02/04,Teaching Assistant,04/04,10/05,8.32
764,Carnegie Mellon University,3.6,Masters,Houston,M,1.0,1,N/A,3,Senior Data Scientist,09/04,11/05,Teaching Assistant,01/06,07/06,Junior SWE,10/06,02/07,7.08
765,University of Massachusetts Amherst,2.65,Masters,Philadelphia,M,N/A,1,0,0,Teaching Assistant,05/05,09/07,Teaching Assistant,12/07,01/09,Teaching Assistant,03/09,11/10,5.02
766,University of Central Florida,2.66,Masters,San Antonio,F,N/A,1,N/A,3,Lawyer,09/01,09/02,Senior Data Scientist,12/02,07/04,Senior SWE,09/04,11/05,4.77
767,University of Florida,3.63,Bachelors,Phoenix,F,1.0,0,0,0,Junior SWE,02/09,12/10,Senior Data Scientist,03/11,06/12,Junior SWE,07/12,07/13,5.96
768,University of Connecticut,3.71,PhD,Los Angeles,M,0.0,0,1,2,Senior SWE,08/00,01/02,Lawyer,04/02,06/04,Junior Data Scientist,08/04,09/06,8.44
769,University of Pennsylvania,3.94,Masters,Houston,M,0.0,0,1,4,Lawyer,11/07,08/08,Junior SWE,09/08,06/10,Junior SWE,08/10,08/11,0.64
770,University of New Mexico,2.27,Masters,San Jose,M,0.0,0,0,1,Senior SWE,10/04,08/06,Lawyer,09/06,03/07,Research Assistant,03/07,10/09,8.09
771,University of Georgia,2.64,Masters,Dallas,N/A,0.0,0,1,3,ML Engineer,09/04,04/06,Teaching Assistant,06/06,12/07,Senior SWE,01/08,10/08,9.28
772,University of North Carolina at Chapel Hill,3.89,PhD,Los Angeles,N/A,1.0,1,0,3,Teaching Assistant,01/00,07/00,Junior SWE,10/00,08/01,Teaching Assistant,11/01,11/03,6.79
773,Northwestern University,2.4,Masters,San Jose,F,1.0,0,0,0,Senior Data Scientist,03/08,08/09,Senior SWE,09/09,09/11,ML Engineer,10/11,12/13,3.75
774,University of Massachusetts Amherst,2.62,PhD,San Antonio,N/A,N/A,1,1,1,ML Engineer,05/04,04/06,Junior Data Scientist,05/06,09/06,Junior Data Scientist,11/06,05/08,7.11
775,University of Arizona,3.92,Bachelors,Los Angeles,F,N/A,0,N/A,4,Junior SWE,02/03,09/05,Senior SWE,10/05,01/08,ML Engineer,01/08,08/09,0.43
776,University of Chicago,3.93,PhD,New York City,M,1.0,1,0,2,Senior Data Scientist,07/00,04/03,Senior SWE,04/03,09/05,Research Assistant,11/05,09/07,0.8
777,University of Hawaii at Manoa,2.58,Bachelors,New York City,F,N/A,1,0,3,Research Assistant,10/01,05/02,Senior SWE,08/02,07/03,ML Engineer,09/03,10/04,5.22
778,Florida State University,3.38,PhD,San Diego,N/A,1.0,0,1,2,Teaching Assistant,06/04,04/05,Teaching Assistant,05/05,12/06,Senior Data Scientist,01/07,01/09,2.11
779,University of Miami,2.98,Bachelors,Phoenix,M,0.0,1,N/A,2,Teaching Assistant,01/03,05/04,Senior Data Scientist,05/04,09/06,Junior Data Scientist,11/06,09/07,9.39
780,Columbia University,3.15,Bachelors,Phoenix,M,0.0,1,N/A,3,Senior SWE,03/03,04/05,Teaching Assistant,05/05,06/06,N/A,N/A,N/A,8.25
781,University of Houston,2.48,PhD,San Jose,F,N/A,0,0,1,Senior Data Scientist,07/06,03/07,Lawyer,05/07,12/08,Junior SWE,03/09,02/11,4.03
782,University of Colorado Boulder,2.75,Masters,New York City,N/A,0.0,0,1,4,Junior SWE,04/09,09/09,N/A,N/A,N/A,N/A,N/A,N/A,3.79
783,University of Oklahoma,3.63,Masters,San Antonio,N/A,0.0,0,1,0,Senior SWE,03/07,11/08,Teaching Assistant,11/08,12/09,Senior SWE,03/10,11/11,8.72
784,Georgia Institute of Technology (Georgia Tech),2.78,Masters,Phoenix,N/A,0.0,0,N/A,2,Lawyer,10/04,10/06,N/A,N/A,N/A,N/A,N/A,N/A,4.23
785,Cornell University,2.22,Masters,Phoenix,N/A,N/A,1,0,0,Senior SWE,01/08,01/09,Senior SWE,04/09,12/11,Junior SWE,01/12,01/14,0.43
786,University of Houston,3.12,Masters,San Diego,F,N/A,1,0,1,Senior Data Scientist,02/05,02/07,Lawyer,03/07,01/09,Senior SWE,03/09,07/10,4.98
787,University of New Mexico,3.18,Bachelors,San Antonio,F,1.0,1,1,2,Research Assistant,12/00,03/02,Teaching Assistant,04/02,05/04,Lawyer,08/04,01/05,1.01
788,University of North Carolina at Chapel Hill,3.09,Masters,Phoenix,M,N/A,0,1,2,Junior Data Scientist,08/05,10/06,Junior SWE,12/06,06/08,Junior Data Scientist,09/08,05/10,3.98
789,University of Massachusetts Amherst,3.36,PhD,Los Angeles,F,N/A,1,0,4,Senior Data Scientist,01/01,02/03,Lawyer,03/03,07/03,ML Engineer,08/03,02/06,5.61
790,Emory University,3.1,Masters,Philadelphia,F,N/A,0,1,4,ML Engineer,03/04,06/04,Junior Data Scientist,09/04,05/05,Teaching Assistant,06/05,04/07,9.26
791,Florida State University,3.9,PhD,Philadelphia,F,1.0,0,1,4,Research Assistant,10/04,07/05,Junior Data Scientist,09/05,11/06,Teaching Assistant,11/06,12/07,0.04
792,Georgia Institute of Technology (Georgia Tech),2.92,Bachelors,Phoenix,F,0.0,0,N/A,2,Senior SWE,11/02,09/04,Senior Data Scientist,11/04,11/05,Senior Data Scientist,01/06,10/06,4.93
793,Purdue University,3.41,PhD,Houston,N/A,1.0,1,N/A,4,Teaching Assistant,09/08,08/10,Lawyer,10/10,05/11,Junior Data Scientist,06/11,01/14,6.96
794,Indiana University Bloomington,2.87,PhD,Los Angeles,N/A,0.0,1,N/A,2,Junior SWE,12/04,04/07,Senior Data Scientist,05/07,08/09,Lawyer,09/09,04/10,5.86
795,Cornell University,2.58,PhD,San Antonio,F,N/A,0,1,0,Junior Data Scientist,04/07,07/09,ML Engineer,08/09,08/10,ML Engineer,10/10,11/12,5.28
796,University of South Carolina,3.38,PhD,Philadelphia,N/A,1.0,1,1,3,Lawyer,06/04,09/06,ML Engineer,12/06,08/09,Senior SWE,09/09,10/11,2.14
797,University of Southern California (USC),3.63,Masters,Dallas,F,1.0,1,1,2,Junior Data Scientist,10/03,01/05,Teaching Assistant,03/05,06/06,Teaching Assistant,07/06,02/08,5.56
798,University of Central Florida,3.59,PhD,Chicago,F,1.0,0,N/A,0,ML Engineer,07/01,10/01,Junior SWE,12/01,09/04,Senior Data Scientist,11/04,03/05,8.68
799,Georgia Institute of Technology (Georgia Tech),2.81,Masters,Philadelphia,M,1.0,0,0,0,Junior Data Scientist,01/08,06/08,Teaching Assistant,08/08,04/11,Senior SWE,07/11,02/14,2.24
800,Texas A&M University,2.99,Masters,Phoenix,M,0.0,1,1,1,Senior SWE,10/05,06/06,Research Assistant,06/06,08/07,ML Engineer,08/07,10/09,0.53
801,Cornell University,3.26,Bachelors,Philadelphia,N/A,N/A,0,N/A,4,Research Assistant,07/00,10/02,Junior SWE,10/02,01/05,Research Assistant,01/05,04/06,1.14
802,Dartmouth College,2.48,Bachelors,Houston,F,1.0,0,N/A,3,Senior SWE,01/03,08/03,Research Assistant,11/03,04/05,ML Engineer,05/05,01/07,7.68
803,University of Utah,3.31,Masters,San Jose,F,N/A,0,1,1,Senior SWE,01/02,05/04,ML Engineer,06/04,11/06,Teaching Assistant,12/06,09/08,6.36
804,University of Hawaii at Manoa,3.43,Masters,Philadelphia,F,0.0,1,1,0,Lawyer,12/03,04/06,Teaching Assistant,06/06,02/09,ML Engineer,04/09,01/11,1.15
805,University of Minnesota Twin Cities,3.57,PhD,San Diego,N/A,0.0,1,N/A,3,Junior SWE,10/05,04/08,Lawyer,06/08,01/10,Junior SWE,04/10,03/12,9.09
806,Johns Hopkins University,2.14,Bachelors,Los Angeles,F,0.0,1,1,3,Lawyer,10/05,10/07,Senior SWE,01/08,11/09,Junior Data Scientist,01/10,04/11,3.99
807,University of Massachusetts Amherst,3.98,PhD,Phoenix,N/A,0.0,1,0,0,Senior SWE,11/08,05/10,Junior Data Scientist,08/10,12/11,Senior SWE,03/12,07/12,7.76
808,University of Notre Dame,2.95,PhD,San Antonio,M,N/A,0,N/A,2,Junior SWE,03/06,09/07,Junior SWE,11/07,01/09,Lawyer,03/09,11/10,1.18
809,University of Massachusetts Amherst,2.8,Masters,Los Angeles,M,1.0,0,1,0,ML Engineer,04/04,03/05,Lawyer,03/05,02/07,ML Engineer,03/07,05/08,8.72
810,University of Massachusetts Amherst,3.01,Masters,San Diego,M,1.0,1,1,0,Lawyer,09/09,11/10,N/A,N/A,N/A,N/A,N/A,N/A,6.84
811,University of Miami,3.84,Masters,San Jose,F,N/A,1,0,1,Lawyer,05/03,03/04,Senior SWE,05/04,06/06,Senior SWE,07/06,04/07,0.73
812,Rice University,3.38,Masters,San Jose,M,0.0,1,1,0,Lawyer,01/06,09/08,Research Assistant,12/08,07/11,Senior Data Scientist,10/11,07/14,6.61
813,University of Michigan,3.08,Bachelors,San Diego,M,N/A,1,1,1,Senior SWE,10/05,05/07,Senior SWE,05/07,01/08,Senior Data Scientist,03/08,07/10,8.73
814,University of Connecticut,3.58,Bachelors,Phoenix,N/A,0.0,0,1,0,Senior SWE,11/07,08/08,ML Engineer,11/08,09/09,Junior Data Scientist,12/09,10/11,7.52
815,University of Oregon,2.71,PhD,New York City,F,0.0,0,0,1,ML Engineer,11/06,01/09,Lawyer,01/09,07/09,Lawyer,07/09,09/10,7.18
816,University of Texas at Austin,3.79,Bachelors,Dallas,F,0.0,1,N/A,1,Senior Data Scientist,01/01,05/02,Teaching Assistant,06/02,12/03,Junior Data Scientist,12/03,05/04,2.37
817,University of Kentucky,3.07,Bachelors,New York City,N/A,N/A,1,0,4,Lawyer,04/05,08/06,Junior Data Scientist,10/06,04/09,ML Engineer,07/09,07/10,0.81
818,Massachusetts Institute of Technology (MIT),3.27,PhD,Phoenix,F,0.0,0,1,2,Lawyer,07/05,03/07,N/A,N/A,N/A,N/A,N/A,N/A,6.37
819,University of Kansas,2.16,PhD,San Diego,M,N/A,1,1,1,Teaching Assistant,10/04,01/05,Teaching Assistant,04/05,12/07,N/A,N/A,N/A,0.9
820,University of Delaware,3.53,PhD,San Jose,M,0.0,0,0,2,Junior SWE,10/05,12/07,ML Engineer,01/08,07/10,Senior Data Scientist,10/10,05/11,5.75
821,Texas A&M University,3.31,PhD,New York City,N/A,0.0,1,N/A,3,Junior SWE,04/05,12/05,Junior SWE,12/05,08/07,Teaching Assistant,10/07,05/08,6.49
822,Emory University,2.71,PhD,San Antonio,N/A,1.0,1,N/A,2,Senior SWE,04/02,12/04,Teaching Assistant,02/05,09/07,N/A,N/A,N/A,4.29
823,Michigan State University,3.29,Masters,San Diego,N/A,1.0,1,N/A,4,Senior SWE,04/09,11/10,Lawyer,12/10,07/13,Junior Data Scientist,08/13,12/15,5.13
824,Texas A&M University,2.08,Masters,Houston,N/A,N/A,1,0,0,Lawyer,01/07,04/08,ML Engineer,06/08,01/11,Teaching Assistant,04/11,12/11,3.41
825,University of New Mexico,3.96,Bachelors,New York City,N/A,1.0,1,N/A,4,Teaching Assistant,07/01,08/03,Senior SWE,09/03,11/05,N/A,N/A,N/A,7.67
826,University of Colorado Boulder,3.35,Bachelors,Houston,N/A,1.0,0,N/A,0,Teaching Assistant,12/06,10/08,Teaching Assistant,12/08,11/10,Junior SWE,12/10,05/12,1.04
827,Massachusetts Institute of Technology (MIT),2.79,Bachelors,San Diego,N/A,1.0,0,N/A,4,Research Assistant,05/05,04/07,Lawyer,05/07,12/08,Senior Data Scientist,02/09,06/11,6.04
828,University of Colorado Boulder,3.5,PhD,Phoenix,N/A,N/A,0,0,0,Junior Data Scientist,01/04,03/05,Senior SWE,05/05,10/06,Junior Data Scientist,01/07,02/09,3.09
829,University of Utah,3.93,Masters,Philadelphia,F,N/A,0,0,1,Lawyer,03/05,07/07,Teaching Assistant,08/07,03/09,Junior Data Scientist,06/09,10/11,7.26
830,Purdue University,2.86,Bachelors,Phoenix,M,0.0,0,0,2,Lawyer,01/09,11/10,Senior Data Scientist,11/10,04/12,Research Assistant,05/12,08/12,0.49
831,Purdue University,2.02,Bachelors,San Diego,N/A,1.0,1,1,1,Junior Data Scientist,08/01,07/02,Junior SWE,07/02,01/05,Research Assistant,03/05,07/05,4.98
832,University of Florida,2.51,Masters,Phoenix,N/A,0.0,1,N/A,1,Senior SWE,11/02,05/05,Junior SWE,07/05,01/07,Teaching Assistant,04/07,02/08,0.56
833,Ohio State University,3.02,Bachelors,San Jose,M,1.0,1,0,4,Lawyer,09/02,03/05,N/A,N/A,N/A,N/A,N/A,N/A,3.18
834,University of Miami,3.03,Masters,San Diego,M,0.0,1,1,4,Senior SWE,05/09,10/11,Senior SWE,12/11,02/14,Lawyer,03/14,08/14,6.39
835,University of Oklahoma,3.16,PhD,Chicago,F,1.0,1,N/A,2,Research Assistant,09/07,06/09,Research Assistant,08/09,01/10,Junior Data Scientist,03/10,01/12,3.52
836,University of Southern California (USC),3.15,Bachelors,New York City,M,1.0,1,0,0,Teaching Assistant,12/02,04/03,Junior Data Scientist,04/03,07/05,Junior Data Scientist,10/05,11/07,7.48
837,University of Tennessee Knoxville,2.89,Masters,San Jose,F,0.0,0,0,1,Teaching Assistant,06/07,03/10,Junior Data Scientist,03/10,06/12,N/A,N/A,N/A,2.61
838,Northwestern University,2.78,Masters,San Diego,N/A,N/A,1,1,0,Lawyer,12/08,06/11,Research Assistant,07/11,03/13,Teaching Assistant,05/13,05/15,8.29
839,University of Pittsburgh,3.54,Bachelors,San Diego,M,0.0,0,N/A,3,Junior Data Scientist,08/06,08/07,Junior Data Scientist,10/07,01/10,Lawyer,02/10,04/12,9.2
840,Iowa State University,3.17,Masters,Philadelphia,M,1.0,1,N/A,3,ML Engineer,03/07,04/09,Research Assistant,05/09,01/10,Senior SWE,03/10,05/12,2.48
841,Vanderbilt University,3.0,Masters,New York City,M,1.0,1,0,2,Junior Data Scientist,10/05,03/06,N/A,N/A,N/A,N/A,N/A,N/A,2.69
842,University of Connecticut,2.68,Masters,Phoenix,M,0.0,1,N/A,0,Research Assistant,05/04,10/06,Senior SWE,11/06,04/08,Junior Data Scientist,06/08,03/09,1.36
843,University of Tennessee Knoxville,2.04,Bachelors,Los Angeles,N/A,N/A,0,0,0,Junior Data Scientist,08/05,03/06,Junior SWE,04/06,03/08,Junior SWE,03/08,07/08,7.85
844,Indiana University Bloomington,2.2,Masters,New York City,F,0.0,0,N/A,1,Senior SWE,09/08,07/10,N/A,N/A,N/A,N/A,N/A,N/A,0.33
845,Indiana University Bloomington,2.83,Bachelors,San Jose,M,1.0,1,1,3,Teaching Assistant,03/08,05/10,ML Engineer,08/10,08/11,Junior Data Scientist,10/11,12/13,0.85
846,Indiana University Bloomington,3.92,Bachelors,Dallas,N/A,N/A,1,0,4,Teaching Assistant,11/08,05/09,ML Engineer,07/09,11/10,Senior Data Scientist,01/11,01/13,8.32
847,Emory University,2.23,Bachelors,San Antonio,N/A,N/A,1,0,4,Lawyer,04/03,12/04,Junior SWE,01/05,11/05,Senior SWE,12/05,08/07,7.41
848,Rice University,3.88,PhD,Chicago,M,N/A,0,1,1,Senior Data Scientist,01/07,11/07,N/A,N/A,N/A,N/A,N/A,N/A,4.22
849,University of Oklahoma,2.28,Masters,New York City,M,1.0,1,0,4,Senior SWE,06/03,10/03,N/A,N/A,N/A,N/A,N/A,N/A,5.86
850,University of Missouri,2.62,PhD,Philadelphia,F,0.0,1,0,0,Junior SWE,03/05,01/07,Junior Data Scientist,03/07,09/08,ML Engineer,11/08,10/09,0.4
851,Purdue University,2.91,Bachelors,Dallas,F,0.0,1,1,2,Research Assistant,06/09,11/11,Junior Data Scientist,01/12,06/13,Senior SWE,06/13,05/14,5.84
852,Massachusetts Institute of Technology (MIT),2.41,PhD,Chicago,M,N/A,0,1,2,Research Assistant,05/07,08/07,Senior SWE,10/07,02/08,Research Assistant,04/08,11/08,7.47
853,Princeton University,2.96,PhD,Los Angeles,M,0.0,1,0,1,Senior SWE,05/08,11/08,Research Assistant,02/09,07/09,Senior SWE,08/09,08/11,1.12
854,University of Alabama,2.95,Masters,Chicago,M,0.0,0,N/A,1,Teaching Assistant,06/00,07/01,Senior Data Scientist,08/01,12/01,Senior SWE,02/02,06/03,2.72
855,Florida State University,2.87,Masters,Dallas,F,1.0,0,0,1,Junior Data Scientist,05/01,08/02,Junior SWE,09/02,04/04,Junior Data Scientist,06/04,07/06,1.39
856,University of Hawaii at Manoa,3.39,Bachelors,New York City,F,N/A,0,1,4,Teaching Assistant,05/04,10/05,Lawyer,10/05,10/06,Senior SWE,11/06,06/08,5.37
857,University of Missouri,2.63,Masters,Los Angeles,M,0.0,1,N/A,1,Junior SWE,10/05,01/08,Junior SWE,03/08,03/10,ML Engineer,04/10,09/12,3.42
858,University of Florida,2.6,Bachelors,Los Angeles,N/A,1.0,0,N/A,4,Junior Data Scientist,04/07,11/08,Teaching Assistant,01/09,09/09,Junior Data Scientist,10/09,04/12,3.21
859,University of Chicago,3.62,Masters,Philadelphia,M,0.0,1,0,4,Research Assistant,01/06,01/08,N/A,N/A,N/A,N/A,N/A,N/A,4.81
860,University of Alabama,2.23,PhD,Los Angeles,M,1.0,1,N/A,3,Senior SWE,12/08,12/10,Junior Data Scientist,01/11,12/12,Teaching Assistant,03/13,06/14,9.59
861,Purdue University,3.69,PhD,Phoenix,N/A,1.0,1,1,2,Senior SWE,06/08,11/08,ML Engineer,12/08,01/11,Research Assistant,03/11,08/11,7.32
862,University of Florida,3.29,Bachelors,Dallas,F,1.0,0,N/A,2,Teaching Assistant,05/08,10/10,Junior SWE,10/10,09/12,Senior SWE,10/12,04/14,1.79
863,University of Connecticut,3.35,Masters,Chicago,N/A,0.0,1,0,1,Teaching Assistant,03/08,12/08,Research Assistant,03/09,06/09,Teaching Assistant,09/09,08/10,5.71
864,Rutgers University,2.32,Bachelors,San Diego,N/A,1.0,1,N/A,0,ML Engineer,12/02,07/04,Senior SWE,08/04,09/06,ML Engineer,09/06,02/09,5.01
865,California Institute of Technology (Caltech),3.96,PhD,Phoenix,N/A,0.0,0,0,0,Research Assistant,05/05,11/06,Research Assistant,11/06,05/08,Lawyer,08/08,11/10,1.81
866,Louisiana State University (LSU),2.48,Bachelors,San Diego,F,0.0,1,0,1,Junior Data Scientist,04/06,02/08,Lawyer,03/08,03/09,N/A,N/A,N/A,9.84
867,Brown University,2.34,Bachelors,Dallas,F,0.0,1,N/A,3,Junior Data Scientist,01/09,02/11,N/A,N/A,N/A,N/A,N/A,N/A,7.4
868,Emory University,2.32,Bachelors,Houston,N/A,1.0,0,0,4,Senior SWE,07/04,11/04,Junior Data Scientist,12/04,05/05,Senior Data Scientist,07/05,10/06,1.7
869,Johns Hopkins University,3.11,Masters,New York City,M,N/A,1,1,1,Teaching Assistant,09/00,08/01,Research Assistant,08/01,07/02,N/A,N/A,N/A,5.4
870,Ohio State University,3.91,Bachelors,Los Angeles,M,1.0,0,0,2,Lawyer,01/00,07/00,ML Engineer,07/00,01/02,N/A,N/A,N/A,4.05
871,University of Arizona,2.46,Masters,San Jose,F,1.0,1,0,1,Junior Data Scientist,04/03,03/04,ML Engineer,03/04,11/04,Lawyer,11/04,04/05,6.47
872,Louisiana State University (LSU),2.81,Masters,Los Angeles,N/A,0.0,0,N/A,4,ML Engineer,10/05,09/06,Teaching Assistant,11/06,04/09,Teaching Assistant,07/09,03/11,3.34
873,Duke University,2.36,Masters,Phoenix,N/A,N/A,1,0,2,Senior Data Scientist,12/02,05/03,Lawyer,07/03,12/03,N/A,N/A,N/A,4.12
874,Yale University,3.28,PhD,San Jose,N/A,0.0,1,N/A,2,Lawyer,08/09,11/10,Senior SWE,12/10,05/13,Senior SWE,06/13,12/13,1.83
875,Purdue University,2.86,Masters,San Diego,M,1.0,1,N/A,0,Senior SWE,03/09,09/11,Teaching Assistant,11/11,10/12,Research Assistant,12/12,09/15,6.19
876,University of Iowa,2.05,Masters,Chicago,M,N/A,1,1,2,Research Assistant,01/08,02/09,Research Assistant,05/09,08/10,Research Assistant,10/10,09/11,6.55
877,University of North Carolina at Chapel Hill,3.22,PhD,Phoenix,F,1.0,0,N/A,0,Research Assistant,11/07,11/09,Research Assistant,12/09,05/12,ML Engineer,05/12,10/13,4.82
