Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,Candidate evaluation
793,Purdue University,3.41,PhD,Houston,N/A,1.0,1,N/A,4,Teaching Assistant,09/08,08/10,Lawyer,10/10,05/11,Junior Data Scientist,06/11,01/14,6.96,0
794,Indiana University Bloomington,2.87,PhD,Los Angeles,N/A,0.0,1,N/A,2,Junior SWE,12/04,04/07,Senior Data Scientist,05/07,08/09,Lawyer,09/09,04/10,5.86,0
795,Cornell University,2.58,PhD,San Antonio,F,N/A,0,1,0,Junior Data Scientist,04/07,07/09,ML Engineer,08/09,08/10,ML Engineer,10/10,11/12,5.28,0
796,University of South Carolina,3.38,PhD,Philadelphia,N/A,1.0,1,1,3,Lawyer,06/04,09/06,ML Engineer,12/06,08/09,Senior SWE,09/09,10/11,2.14,0
797,University of Southern California (USC),3.63,Masters,Dallas,F,1.0,1,1,2,Junior Data Scientist,10/03,01/05,Teaching Assistant,03/05,06/06,Teaching Assistant,07/06,02/08,5.56,0
798,University of Central Florida,3.59,PhD,Chicago,F,1.0,0,N/A,0,ML Engineer,07/01,10/01,Junior SWE,12/01,09/04,Senior Data Scientist,11/04,03/05,8.68,1
799,Georgia Institute of Technology (Georgia Tech),2.81,Masters,Philadelphia,M,1.0,0,0,0,Junior Data Scientist,01/08,06/08,Teaching Assistant,08/08,04/11,Senior SWE,07/11,02/14,2.24,0
800,Texas A&M University,2.99,Masters,Phoenix,M,0.0,1,1,1,Senior SWE,10/05,06/06,Research Assistant,06/06,08/07,ML Engineer,08/07,10/09,0.53,1
801,Cornell University,3.26,Bachelors,Philadelphia,N/A,N/A,0,N/A,4,Research Assistant,07/00,10/02,Junior SWE,10/02,01/05,Research Assistant,01/05,04/06,1.14,0
802,Dartmouth College,2.48,Bachelors,Houston,F,1.0,0,N/A,3,Senior SWE,01/03,08/03,Research Assistant,11/03,04/05,ML Engineer,05/05,01/07,7.68,0
803,University of Utah,3.31,Masters,San Jose,F,N/A,0,1,1,Senior SWE,01/02,05/04,ML Engineer,06/04,11/06,Teaching Assistant,12/06,09/08,6.36,0
804,University of Hawaii at Manoa,3.43,Masters,Philadelphia,F,0.0,1,1,0,Lawyer,12/03,04/06,Teaching Assistant,06/06,02/09,ML Engineer,04/09,01/11,1.15,0
805,University of Minnesota Twin Cities,3.57,PhD,San Diego,N/A,0.0,1,N/A,3,Junior SWE,10/05,04/08,Lawyer,06/08,01/10,Junior SWE,04/10,03/12,9.09,0
806,Johns Hopkins University,2.14,Bachelors,Los Angeles,F,0.0,1,1,3,Lawyer,10/05,10/07,Senior SWE,01/08,11/09,Junior Data Scientist,01/10,04/11,3.99,0
807,University of Massachusetts Amherst,3.98,PhD,Phoenix,N/A,0.0,1,0,0,Senior SWE,11/08,05/10,Junior Data Scientist,08/10,12/11,Senior SWE,03/12,07/12,7.76,0
808,University of Notre Dame,2.95,PhD,San Antonio,M,N/A,0,N/A,2,Junior SWE,03/06,09/07,Junior SWE,11/07,01/09,Lawyer,03/09,11/10,1.18,0
809,University of Massachusetts Amherst,2.8,Masters,Los Angeles,M,1.0,0,1,0,ML Engineer,04/04,03/05,Lawyer,03/05,02/07,ML Engineer,03/07,05/08,8.72,1
810,University of Massachusetts Amherst,3.01,Masters,San Diego,M,1.0,1,1,0,Lawyer,09/09,11/10,N/A,N/A,N/A,N/A,N/A,N/A,6.84,0
811,University of Miami,3.84,Masters,San Jose,F,N/A,1,0,1,Lawyer,05/03,03/04,Senior SWE,05/04,06/06,Senior SWE,07/06,04/07,0.73,1
812,Rice University,3.38,Masters,San Jose,M,0.0,1,1,0,Lawyer,01/06,09/08,Research Assistant,12/08,07/11,Senior Data Scientist,10/11,07/14,6.61,0
813,University of Michigan,3.08,Bachelors,San Diego,M,N/A,1,1,1,Senior SWE,10/05,05/07,Senior SWE,05/07,01/08,Senior Data Scientist,03/08,07/10,8.73,1
814,University of Connecticut,3.58,Bachelors,Phoenix,N/A,0.0,0,1,0,Senior SWE,11/07,08/08,ML Engineer,11/08,09/09,Junior Data Scientist,12/09,10/11,7.52,0
815,University of Oregon,2.71,PhD,New York City,F,0.0,0,0,1,ML Engineer,11/06,01/09,Lawyer,01/09,07/09,Lawyer,07/09,09/10,7.18,1
816,University of Texas at Austin,3.79,Bachelors,Dallas,F,0.0,1,N/A,1,Senior Data Scientist,01/01,05/02,Teaching Assistant,06/02,12/03,Junior Data Scientist,12/03,05/04,2.37,0
817,University of Kentucky,3.07,Bachelors,New York City,N/A,N/A,1,0,4,Lawyer,04/05,08/06,Junior Data Scientist,10/06,04/09,ML Engineer,07/09,07/10,0.81,0
818,Massachusetts Institute of Technology (MIT),3.27,PhD,Phoenix,F,0.0,0,1,2,Lawyer,07/05,03/07,N/A,N/A,N/A,N/A,N/A,N/A,6.37,1
819,University of Kansas,2.16,PhD,San Diego,M,N/A,1,1,1,Teaching Assistant,10/04,01/05,Teaching Assistant,04/05,12/07,N/A,N/A,N/A,0.9,0
820,University of Delaware,3.53,PhD,San Jose,M,0.0,0,0,2,Junior SWE,10/05,12/07,ML Engineer,01/08,07/10,Senior Data Scientist,10/10,05/11,5.75,1
821,Texas A&M University,3.31,PhD,New York City,N/A,0.0,1,N/A,3,Junior SWE,04/05,12/05,Junior SWE,12/05,08/07,Teaching Assistant,10/07,05/08,6.49,0
822,Emory University,2.71,PhD,San Antonio,N/A,1.0,1,N/A,2,Senior SWE,04/02,12/04,Teaching Assistant,02/05,09/07,N/A,N/A,N/A,4.29,0
823,Michigan State University,3.29,Masters,San Diego,N/A,1.0,1,N/A,4,Senior SWE,04/09,11/10,Lawyer,12/10,07/13,Junior Data Scientist,08/13,12/15,5.13,0
824,Texas A&M University,2.08,Masters,Houston,N/A,N/A,1,0,0,Lawyer,01/07,04/08,ML Engineer,06/08,01/11,Teaching Assistant,04/11,12/11,3.41,0
825,University of New Mexico,3.96,Bachelors,New York City,N/A,1.0,1,N/A,4,Teaching Assistant,07/01,08/03,Senior SWE,09/03,11/05,N/A,N/A,N/A,7.67,0
826,University of Colorado Boulder,3.35,Bachelors,Houston,N/A,1.0,0,N/A,0,Teaching Assistant,12/06,10/08,Teaching Assistant,12/08,11/10,Junior SWE,12/10,05/12,1.04,0
827,Massachusetts Institute of Technology (MIT),2.79,Bachelors,San Diego,N/A,1.0,0,N/A,4,Research Assistant,05/05,04/07,Lawyer,05/07,12/08,Senior Data Scientist,02/09,06/11,6.04,0
828,University of Colorado Boulder,3.5,PhD,Phoenix,N/A,N/A,0,0,0,Junior Data Scientist,01/04,03/05,Senior SWE,05/05,10/06,Junior Data Scientist,01/07,02/09,3.09,0
829,University of Utah,3.93,Masters,Philadelphia,F,N/A,0,0,1,Lawyer,03/05,07/07,Teaching Assistant,08/07,03/09,Junior Data Scientist,06/09,10/11,7.26,0
830,Purdue University,2.86,Bachelors,Phoenix,M,0.0,0,0,2,Lawyer,01/09,11/10,Senior Data Scientist,11/10,04/12,Research Assistant,05/12,08/12,0.49,0
831,Purdue University,2.02,Bachelors,San Diego,N/A,1.0,1,1,1,Junior Data Scientist,08/01,07/02,Junior SWE,07/02,01/05,Research Assistant,03/05,07/05,4.98,0
832,University of Florida,2.51,Masters,Phoenix,N/A,0.0,1,N/A,1,Senior SWE,11/02,05/05,Junior SWE,07/05,01/07,Teaching Assistant,04/07,02/08,0.56,0
833,Ohio State University,3.02,Bachelors,San Jose,M,1.0,1,0,4,Lawyer,09/02,03/05,N/A,N/A,N/A,N/A,N/A,N/A,3.18,1
834,University of Miami,3.03,Masters,San Diego,M,0.0,1,1,4,Senior SWE,05/09,10/11,Senior SWE,12/11,02/14,Lawyer,03/14,08/14,6.39,1
835,University of Oklahoma,3.16,PhD,Chicago,F,1.0,1,N/A,2,Research Assistant,09/07,06/09,Research Assistant,08/09,01/10,Junior Data Scientist,03/10,01/12,3.52,0
836,University of Southern California (USC),3.15,Bachelors,New York City,M,1.0,1,0,0,Teaching Assistant,12/02,04/03,Junior Data Scientist,04/03,07/05,Junior Data Scientist,10/05,11/07,7.48,1
837,University of Tennessee Knoxville,2.89,Masters,San Jose,F,0.0,0,0,1,Teaching Assistant,06/07,03/10,Junior Data Scientist,03/10,06/12,N/A,N/A,N/A,2.61,1
838,Northwestern University,2.78,Masters,San Diego,N/A,N/A,1,1,0,Lawyer,12/08,06/11,Research Assistant,07/11,03/13,Teaching Assistant,05/13,05/15,8.29,0
839,University of Pittsburgh,3.54,Bachelors,San Diego,M,0.0,0,N/A,3,Junior Data Scientist,08/06,08/07,Junior Data Scientist,10/07,01/10,Lawyer,02/10,04/12,9.2,0
840,Iowa State University,3.17,Masters,Philadelphia,M,1.0,1,N/A,3,ML Engineer,03/07,04/09,Research Assistant,05/09,01/10,Senior SWE,03/10,05/12,2.48,0
841,Vanderbilt University,3.0,Masters,New York City,M,1.0,1,0,2,Junior Data Scientist,10/05,03/06,N/A,N/A,N/A,N/A,N/A,N/A,2.69,1
842,University of Connecticut,2.68,Masters,Phoenix,M,0.0,1,N/A,0,Research Assistant,05/04,10/06,Senior SWE,11/06,04/08,Junior Data Scientist,06/08,03/09,1.36,1
843,University of Tennessee Knoxville,2.04,Bachelors,Los Angeles,N/A,N/A,0,0,0,Junior Data Scientist,08/05,03/06,Junior SWE,04/06,03/08,Junior SWE,03/08,07/08,7.85,0
844,Indiana University Bloomington,2.2,Masters,New York City,F,0.0,0,N/A,1,Senior SWE,09/08,07/10,N/A,N/A,N/A,N/A,N/A,N/A,0.33,0
845,Indiana University Bloomington,2.83,Bachelors,San Jose,M,1.0,1,1,3,Teaching Assistant,03/08,05/10,ML Engineer,08/10,08/11,Junior Data Scientist,10/11,12/13,0.85,1
846,Indiana University Bloomington,3.92,Bachelors,Dallas,N/A,N/A,1,0,4,Teaching Assistant,11/08,05/09,ML Engineer,07/09,11/10,Senior Data Scientist,01/11,01/13,8.32,0
847,Emory University,2.23,Bachelors,San Antonio,N/A,N/A,1,0,4,Lawyer,04/03,12/04,Junior SWE,01/05,11/05,Senior SWE,12/05,08/07,7.41,0
848,Rice University,3.88,PhD,Chicago,M,N/A,0,1,1,Senior Data Scientist,01/07,11/07,N/A,N/A,N/A,N/A,N/A,N/A,4.22,0
849,University of Oklahoma,2.28,Masters,New York City,M,1.0,1,0,4,Senior SWE,06/03,10/03,N/A,N/A,N/A,N/A,N/A,N/A,5.86,1
850,University of Missouri,2.62,PhD,Philadelphia,F,0.0,1,0,0,Junior SWE,03/05,01/07,Junior Data Scientist,03/07,09/08,ML Engineer,11/08,10/09,0.4,0
851,Purdue University,2.91,Bachelors,Dallas,F,0.0,1,1,2,Research Assistant,06/09,11/11,Junior Data Scientist,01/12,06/13,Senior SWE,06/13,05/14,5.84,0
852,Massachusetts Institute of Technology (MIT),2.41,PhD,Chicago,M,N/A,0,1,2,Research Assistant,05/07,08/07,Senior SWE,10/07,02/08,Research Assistant,04/08,11/08,7.47,1
853,Princeton University,2.96,PhD,Los Angeles,M,0.0,1,0,1,Senior SWE,05/08,11/08,Research Assistant,02/09,07/09,Senior SWE,08/09,08/11,1.12,0
854,University of Alabama,2.95,Masters,Chicago,M,0.0,0,N/A,1,Teaching Assistant,06/00,07/01,Senior Data Scientist,08/01,12/01,Senior SWE,02/02,06/03,2.72,0
855,Florida State University,2.87,Masters,Dallas,F,1.0,0,0,1,Junior Data Scientist,05/01,08/02,Junior SWE,09/02,04/04,Junior Data Scientist,06/04,07/06,1.39,1
856,University of Hawaii at Manoa,3.39,Bachelors,New York City,F,N/A,0,1,4,Teaching Assistant,05/04,10/05,Lawyer,10/05,10/06,Senior SWE,11/06,06/08,5.37,1
857,University of Missouri,2.63,Masters,Los Angeles,M,0.0,1,N/A,1,Junior SWE,10/05,01/08,Junior SWE,03/08,03/10,ML Engineer,04/10,09/12,3.42,0
858,University of Florida,2.6,Bachelors,Los Angeles,N/A,1.0,0,N/A,4,Junior Data Scientist,04/07,11/08,Teaching Assistant,01/09,09/09,Junior Data Scientist,10/09,04/12,3.21,0
859,University of Chicago,3.62,Masters,Philadelphia,M,0.0,1,0,4,Research Assistant,01/06,01/08,N/A,N/A,N/A,N/A,N/A,N/A,4.81,0
860,University of Alabama,2.23,PhD,Los Angeles,M,1.0,1,N/A,3,Senior SWE,12/08,12/10,Junior Data Scientist,01/11,12/12,Teaching Assistant,03/13,06/14,9.59,1
861,Purdue University,3.69,PhD,Phoenix,N/A,1.0,1,1,2,Senior SWE,06/08,11/08,ML Engineer,12/08,01/11,Research Assistant,03/11,08/11,7.32,0
862,University of Florida,3.29,Bachelors,Dallas,F,1.0,0,N/A,2,Teaching Assistant,05/08,10/10,Junior SWE,10/10,09/12,Senior SWE,10/12,04/14,1.79,1
863,University of Connecticut,3.35,Masters,Chicago,N/A,0.0,1,0,1,Teaching Assistant,03/08,12/08,Research Assistant,03/09,06/09,Teaching Assistant,09/09,08/10,5.71,0
864,Rutgers University,2.32,Bachelors,San Diego,N/A,1.0,1,N/A,0,ML Engineer,12/02,07/04,Senior SWE,08/04,09/06,ML Engineer,09/06,02/09,5.01,0
865,California Institute of Technology (Caltech),3.96,PhD,Phoenix,N/A,0.0,0,0,0,Research Assistant,05/05,11/06,Research Assistant,11/06,05/08,Lawyer,08/08,11/10,1.81,0
866,Louisiana State University (LSU),2.48,Bachelors,San Diego,F,0.0,1,0,1,Junior Data Scientist,04/06,02/08,Lawyer,03/08,03/09,N/A,N/A,N/A,9.84,1
867,Brown University,2.34,Bachelors,Dallas,F,0.0,1,N/A,3,Junior Data Scientist,01/09,02/11,N/A,N/A,N/A,N/A,N/A,N/A,7.4,1
868,Emory University,2.32,Bachelors,Houston,N/A,1.0,0,0,4,Senior SWE,07/04,11/04,Junior Data Scientist,12/04,05/05,Senior Data Scientist,07/05,10/06,1.7,0
869,Johns Hopkins University,3.11,Masters,New York City,M,N/A,1,1,1,Teaching Assistant,09/00,08/01,Research Assistant,08/01,07/02,N/A,N/A,N/A,5.4,1
870,Ohio State University,3.91,Bachelors,Los Angeles,M,1.0,0,0,2,Lawyer,01/00,07/00,ML Engineer,07/00,01/02,N/A,N/A,N/A,4.05,1
871,University of Arizona,2.46,Masters,San Jose,F,1.0,1,0,1,Junior Data Scientist,04/03,03/04,ML Engineer,03/04,11/04,Lawyer,11/04,04/05,6.47,0
872,Louisiana State University (LSU),2.81,Masters,Los Angeles,N/A,0.0,0,N/A,4,ML Engineer,10/05,09/06,Teaching Assistant,11/06,04/09,Teaching Assistant,07/09,03/11,3.34,0
873,Duke University,2.36,Masters,Phoenix,N/A,N/A,1,0,2,Senior Data Scientist,12/02,05/03,Lawyer,07/03,12/03,N/A,N/A,N/A,4.12,0
874,Yale University,3.28,PhD,San Jose,N/A,0.0,1,N/A,2,Lawyer,08/09,11/10,Senior SWE,12/10,05/13,Senior SWE,06/13,12/13,1.83,0
875,Purdue University,2.86,Masters,San Diego,M,1.0,1,N/A,0,Senior SWE,03/09,09/11,Teaching Assistant,11/11,10/12,Research Assistant,12/12,09/15,6.19,0
876,University of Iowa,2.05,Masters,Chicago,M,N/A,1,1,2,Research Assistant,01/08,02/09,Research Assistant,05/09,08/10,Research Assistant,10/10,09/11,6.55,0
877,University of North Carolina at Chapel Hill,3.22,PhD,Phoenix,F,1.0,0,N/A,0,Research Assistant,11/07,11/09,Research Assistant,12/09,05/12,ML Engineer,05/12,10/13,4.82,0
878,Florida State University,2.39,Masters,San Antonio,N/A,N/A,0,1,3,Research Assistant,11/07,03/10,Senior SWE,04/10,04/11,Junior SWE,05/11,07/12,2.7,0
879,Johns Hopkins University,3.18,PhD,Chicago,N/A,1.0,0,0,3,Junior SWE,01/02,10/02,Lawyer,11/02,12/04,Lawyer,01/05,05/07,6.54,0
880,University of Miami,2.77,Masters,San Diego,M,N/A,1,N/A,0,Teaching Assistant,12/04,10/06,N/A,N/A,N/A,N/A,N/A,N/A,3.62,1
881,University of Virginia,3.4,Bachelors,Houston,M,0.0,1,0,2,Senior Data Scientist,09/08,03/09,Junior Data Scientist,05/09,06/10,Research Assistant,07/10,03/11,8.89,1
882,University of Virginia,2.41,PhD,San Antonio,F,0.0,0,0,3,Research Assistant,03/05,09/06,Senior Data Scientist,11/06,02/08,Senior SWE,03/08,04/09,4.65,0
883,Harvard University,3.5,PhD,San Diego,F,N/A,0,0,4,Junior Data Scientist,11/03,08/04,N/A,N/A,N/A,N/A,N/A,N/A,1.42,0
884,Louisiana State University (LSU),3.61,Bachelors,Los Angeles,N/A,N/A,0,0,4,Junior SWE,03/05,03/06,Lawyer,05/06,09/07,Research Assistant,10/07,06/08,9.32,0
885,Rutgers University,2.12,Masters,Los Angeles,M,0.0,0,0,1,ML Engineer,10/00,11/01,Junior Data Scientist,12/01,11/02,Senior SWE,11/02,07/03,9.56,0
886,Pennsylvania State University,2.2,Masters,Houston,F,0.0,0,N/A,2,Junior SWE,03/07,09/08,N/A,N/A,N/A,N/A,N/A,N/A,0.13,0
887,Northwestern University,3.74,Masters,Houston,F,N/A,0,N/A,3,ML Engineer,04/06,01/07,Research Assistant,03/07,01/08,N/A,N/A,N/A,8.69,0
888,University of Florida,2.37,Masters,San Diego,M,1.0,1,0,3,Research Assistant,01/02,11/03,Junior SWE,01/04,01/06,N/A,N/A,N/A,5.68,1
889,University of Notre Dame,2.65,Masters,San Diego,N/A,N/A,1,1,1,Senior SWE,01/05,04/05,Junior Data Scientist,05/05,10/05,N/A,N/A,N/A,0.93,0
890,University of Utah,2.91,PhD,Philadelphia,F,0.0,0,1,0,ML Engineer,06/07,01/10,Teaching Assistant,02/10,09/11,Senior SWE,12/11,10/12,3.2,0
891,University of Alabama,2.52,PhD,Houston,F,0.0,1,N/A,4,ML Engineer,06/08,12/09,N/A,N/A,N/A,N/A,N/A,N/A,6.77,0
892,Boston University,3.72,Masters,San Diego,N/A,N/A,1,0,0,Teaching Assistant,01/01,02/02,Junior Data Scientist,03/02,03/03,Junior SWE,05/03,07/04,7.5,0
893,University of North Carolina at Chapel Hill,3.05,Bachelors,Phoenix,M,N/A,1,0,1,Senior Data Scientist,09/00,09/01,Junior Data Scientist,10/01,05/03,Senior Data Scientist,07/03,02/06,8.49,0
894,Arizona State University,3.27,Masters,Los Angeles,N/A,0.0,1,0,3,ML Engineer,05/02,11/02,Senior SWE,12/02,07/05,Research Assistant,08/05,07/06,0.45,0
895,Carnegie Mellon University,3.19,Masters,Dallas,F,0.0,0,1,1,ML Engineer,11/09,03/12,Research Assistant,03/12,11/12,Research Assistant,02/13,10/13,9.63,0
896,Emory University,3.22,Bachelors,New York City,F,N/A,0,N/A,4,Lawyer,11/04,03/06,Senior Data Scientist,06/06,09/06,Senior SWE,12/06,06/09,3.99,1
897,University of Minnesota Twin Cities,3.17,PhD,San Jose,M,0.0,0,1,2,ML Engineer,05/05,03/06,Junior SWE,03/06,11/08,ML Engineer,02/09,09/11,4.16,1
898,University of Texas at Austin,2.69,Masters,Phoenix,F,1.0,0,1,0,Junior SWE,09/02,03/03,ML Engineer,03/03,09/04,ML Engineer,11/04,09/05,0.76,0
899,University of Oregon,3.69,PhD,San Antonio,N/A,1.0,0,1,1,ML Engineer,02/09,09/11,Research Assistant,11/11,05/13,Research Assistant,06/13,09/13,5.4,0
900,University of Oregon,3.23,PhD,San Jose,F,0.0,1,N/A,1,Research Assistant,10/05,02/06,Junior Data Scientist,03/06,09/08,Junior SWE,09/08,03/11,3.92,1
901,University of Hawaii at Manoa,3.62,Masters,San Antonio,F,1.0,0,0,4,Lawyer,11/08,05/11,Junior SWE,06/11,06/13,ML Engineer,07/13,09/15,3.4,0
902,Brown University,3.41,Masters,New York City,M,1.0,1,N/A,3,Senior Data Scientist,03/00,05/02,Senior Data Scientist,07/02,04/03,ML Engineer,05/03,02/06,6.06,1
903,University of New Mexico,2.59,Bachelors,San Jose,N/A,0.0,1,N/A,2,Senior Data Scientist,11/07,10/09,Teaching Assistant,10/09,05/11,Senior Data Scientist,07/11,12/12,8.4,0
904,Michigan State University,3.22,Masters,San Antonio,F,N/A,0,N/A,4,Junior SWE,07/06,10/07,ML Engineer,01/08,11/09,Junior Data Scientist,12/09,02/12,4.58,1
905,Cornell University,2.16,Bachelors,San Jose,M,1.0,0,N/A,3,Senior SWE,08/08,05/10,Senior Data Scientist,07/10,11/11,Junior Data Scientist,11/11,10/12,7.9,0
906,University of Arizona,2.26,Masters,Phoenix,N/A,N/A,0,1,4,Junior SWE,05/08,05/10,Junior SWE,05/10,07/12,Teaching Assistant,09/12,11/14,8.39,0
907,Pennsylvania State University,2.23,Bachelors,San Jose,F,N/A,1,N/A,2,Research Assistant,09/05,07/07,Junior SWE,08/07,12/09,Junior Data Scientist,01/10,02/12,5.21,0
908,University of Kansas,2.61,Bachelors,Dallas,F,N/A,0,1,0,Teaching Assistant,06/08,03/09,N/A,N/A,N/A,N/A,N/A,N/A,6.83,1
909,California Institute of Technology (Caltech),2.36,PhD,Houston,F,1.0,1,N/A,3,Research Assistant,04/08,04/10,ML Engineer,07/10,03/13,Teaching Assistant,03/13,08/13,8.19,0
910,University of Georgia,3.38,Masters,Chicago,N/A,0.0,1,N/A,3,Teaching Assistant,06/04,10/05,Senior Data Scientist,10/05,06/06,N/A,N/A,N/A,0.82,0
911,University of Colorado Boulder,3.02,Masters,New York City,N/A,N/A,0,0,0,Senior Data Scientist,10/05,04/06,Junior SWE,06/06,01/07,Lawyer,02/07,09/07,4.8,0
912,Rutgers University,2.83,Masters,San Antonio,F,1.0,0,1,3,Lawyer,09/03,03/05,Junior Data Scientist,05/05,11/06,Research Assistant,12/06,07/07,1.6,0
913,Brown University,2.27,Bachelors,Houston,M,N/A,1,0,1,Lawyer,06/01,09/02,Teaching Assistant,10/02,09/03,Research Assistant,11/03,03/05,1.58,1
914,Louisiana State University (LSU),2.76,PhD,San Diego,M,N/A,1,1,3,ML Engineer,08/08,04/11,Junior SWE,06/11,05/13,Senior Data Scientist,05/13,07/15,9.67,0
915,University of Georgia,2.37,Bachelors,San Diego,M,0.0,0,N/A,2,Senior Data Scientist,03/09,09/10,Senior SWE,12/10,01/12,Lawyer,03/12,05/13,9.48,0
916,University of Notre Dame,3.27,PhD,San Diego,N/A,1.0,1,1,4,Research Assistant,10/05,02/07,Senior Data Scientist,02/07,02/09,N/A,N/A,N/A,4.64,0
917,University of Alabama,3.38,Masters,Philadelphia,N/A,0.0,0,N/A,0,Junior Data Scientist,02/02,08/02,Senior Data Scientist,08/02,06/04,ML Engineer,06/04,06/06,1.85,0
918,University of Iowa,3.29,PhD,Los Angeles,M,N/A,0,0,1,Senior Data Scientist,11/07,07/09,Senior Data Scientist,08/09,01/11,Research Assistant,01/11,10/11,5.73,1
919,Pennsylvania State University,3.99,PhD,Houston,M,N/A,1,N/A,0,ML Engineer,10/00,02/03,ML Engineer,03/03,08/03,Teaching Assistant,09/03,11/05,0.73,0
920,University of Oklahoma,3.1,Bachelors,San Antonio,N/A,N/A,1,N/A,0,Research Assistant,04/08,07/09,Teaching Assistant,09/09,02/10,N/A,N/A,N/A,8.84,0
921,Michigan State University,2.97,Masters,Los Angeles,M,1.0,0,1,3,Teaching Assistant,02/03,04/04,Senior Data Scientist,06/04,12/04,Lawyer,02/05,10/07,6.17,1
922,Arizona State University,2.28,Bachelors,Philadelphia,M,N/A,0,N/A,3,Research Assistant,01/05,02/07,Senior SWE,02/07,06/08,N/A,N/A,N/A,0.91,0
923,University of Alabama,2.62,Masters,San Antonio,N/A,N/A,1,0,0,Teaching Assistant,06/07,01/09,Junior SWE,02/09,11/10,Junior Data Scientist,11/10,02/13,2.02,0
924,Rutgers University,2.9,Masters,Dallas,F,0.0,0,N/A,2,Senior Data Scientist,07/07,06/09,Teaching Assistant,07/09,11/11,Research Assistant,02/12,06/14,2.75,1
925,University of Tennessee Knoxville,2.1,Masters,New York City,F,1.0,0,0,4,Junior Data Scientist,08/04,03/05,N/A,N/A,N/A,N/A,N/A,N/A,9.86,1
926,Dartmouth College,2.71,PhD,New York City,N/A,1.0,1,1,0,Junior Data Scientist,06/07,11/07,Teaching Assistant,12/07,07/08,Senior Data Scientist,08/08,11/09,2.23,0
927,University of Florida,2.01,Masters,Los Angeles,M,1.0,0,1,3,Senior Data Scientist,08/07,01/10,Senior Data Scientist,03/10,12/11,ML Engineer,01/12,08/14,6.85,0
928,University of Oregon,2.27,Masters,Phoenix,F,N/A,1,0,2,Lawyer,08/06,09/08,Senior SWE,11/08,12/09,Junior Data Scientist,12/09,03/11,0.71,1
929,University of Kansas,3.63,PhD,Chicago,N/A,N/A,1,1,2,Junior SWE,11/01,04/04,Junior SWE,06/04,02/06,N/A,N/A,N/A,8.81,0
930,University of Chicago,3.92,Masters,Chicago,F,1.0,1,1,3,ML Engineer,09/06,10/07,Senior Data Scientist,12/07,05/08,Lawyer,06/08,02/09,3.76,1
931,Brown University,3.01,Masters,Los Angeles,F,1.0,1,1,0,Senior SWE,03/00,11/02,Research Assistant,11/02,04/05,Senior Data Scientist,06/05,12/06,2.14,1
932,University of Missouri,2.98,PhD,New York City,M,N/A,0,N/A,1,Teaching Assistant,05/07,02/08,Senior Data Scientist,04/08,11/08,N/A,N/A,N/A,1.55,0
933,Duke University,3.36,Masters,New York City,F,0.0,1,N/A,1,Senior SWE,02/01,11/01,Research Assistant,01/02,01/04,Junior SWE,03/04,12/06,8.29,1
934,University of Pennsylvania,2.83,Masters,San Jose,N/A,0.0,1,1,3,Junior Data Scientist,05/02,07/03,Junior SWE,07/03,09/04,Senior SWE,11/04,06/05,2.47,0
935,University of Massachusetts Amherst,3.67,Masters,San Antonio,F,N/A,0,0,2,ML Engineer,10/05,06/07,Junior SWE,06/07,04/08,Research Assistant,07/08,01/10,5.86,0
936,University of New Mexico,2.97,Masters,Dallas,M,N/A,0,0,0,Junior SWE,01/00,10/01,ML Engineer,11/01,11/03,Junior SWE,12/03,01/05,4.76,0
937,Ohio State University,2.16,Bachelors,San Jose,N/A,0.0,0,N/A,0,Lawyer,07/09,10/10,Junior Data Scientist,12/10,08/13,Junior Data Scientist,08/13,11/14,6.2,0
938,Florida State University,2.06,Bachelors,San Antonio,N/A,0.0,1,1,4,ML Engineer,04/05,08/06,Senior Data Scientist,09/06,01/08,Junior Data Scientist,03/08,05/10,1.75,0
939,University of Houston,3.52,Bachelors,San Diego,M,N/A,0,N/A,0,Junior Data Scientist,07/08,02/09,Research Assistant,05/09,08/09,Senior Data Scientist,09/09,11/11,8.24,0
940,University of Virginia,2.58,Masters,Los Angeles,M,0.0,0,N/A,4,Senior SWE,11/09,01/11,Research Assistant,03/11,02/12,N/A,N/A,N/A,1.24,0
941,University of Houston,2.54,Bachelors,Dallas,F,0.0,1,0,2,Lawyer,01/03,03/04,ML Engineer,04/04,02/06,Lawyer,03/06,10/06,4.35,0
942,University of Minnesota Twin Cities,3.07,Bachelors,Los Angeles,N/A,N/A,0,0,1,Senior SWE,05/06,04/07,Senior SWE,04/07,01/08,N/A,N/A,N/A,0.32,0
943,Texas A&M University,2.33,Masters,San Antonio,N/A,N/A,0,0,1,Junior SWE,02/03,12/03,Teaching Assistant,01/04,06/05,N/A,N/A,N/A,0.53,0
944,University of Missouri,2.91,PhD,Dallas,F,N/A,1,1,3,Research Assistant,02/01,01/03,Junior SWE,02/03,03/04,N/A,N/A,N/A,2.59,0
945,Vanderbilt University,3.48,Bachelors,Philadelphia,M,0.0,1,1,2,ML Engineer,03/07,05/09,Lawyer,06/09,02/10,Research Assistant,04/10,03/12,8.51,1
946,Columbia University,3.53,Bachelors,San Jose,F,0.0,0,N/A,3,Junior Data Scientist,05/00,12/01,Senior SWE,01/02,07/04,Junior SWE,09/04,06/05,3.98,0
